,city_ibge_code,last_available_confirmed_week_9,last_available_deaths_week_9,last_available_confirmed_week_10,last_available_deaths_week_10,last_available_confirmed_week_11,last_available_deaths_week_11,last_available_confirmed_week_12,last_available_deaths_week_12,last_available_confirmed_week_13,last_available_deaths_week_13,last_available_confirmed_week_14,last_available_deaths_week_14,last_available_confirmed_week_15,last_available_deaths_week_15,last_available_confirmed_week_16,last_available_deaths_week_16,last_available_confirmed_week_17,last_available_deaths_week_17,last_available_confirmed_week_18,last_available_deaths_week_18,last_available_confirmed_week_19,last_available_deaths_week_19,last_available_confirmed_week_20,last_available_deaths_week_20,last_available_confirmed_week_21,last_available_deaths_week_21,last_available_confirmed_week_22,last_available_deaths_week_22,last_available_confirmed_week_23,last_available_deaths_week_23,last_available_confirmed_week_24,last_available_deaths_week_24,last_available_confirmed_week_25,last_available_deaths_week_25,last_available_confirmed_week_26,last_available_deaths_week_26,last_available_confirmed_week_27,last_available_deaths_week_27,last_available_confirmed_week_28,last_available_deaths_week_28,last_available_confirmed_week_29,last_available_deaths_week_29,last_available_confirmed_week_30,last_available_deaths_week_30,last_available_confirmed_week_31,last_available_deaths_week_31,last_available_confirmed_week_32,last_available_deaths_week_32,last_available_confirmed_week_33,last_available_deaths_week_33,last_available_confirmed_week_34,last_available_deaths_week_34
AC,12,0.0,0.0,0.0,0.0,0.0,0.0,11,0,25,0,46,0,72,2,142,6,258,11,553,22,1335,40,1867,59,3867,87,6072,142,7525,201,9534,256,11263,297,12913,351,14487,391,16080,419,17202,457,18657,483,19930,535,21498,559,22516,576,23665,598
AL,27,0.0,0.0,0.0,0.0,1.0,0.0,7,0,14,0,23,2,48,3,132,10,501,29,1371,58,2170,114,3593,199,5630,301,9223,424,14818,582,20887,723,27698,866,33521,993,39255,1134,44633,1264,49583,1381,54730,1486,60992,1581,66748,1665,72076,1742,75470,1810
AM,13,0.0,0.0,0.0,0.0,2.0,0.0,11,0,111,1,311,12,1049,53,1897,161,3635,287,6062,501,11925,962,19677,1375,28802,1744,40560,2047,48785,2232,56026,2465,62579,2650,69022,2772,75502,2918,83230,3023,90534,3129,96094,3210,101777,3278,106428,3355,111241,3463,115369,3557
AP,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4,0,29,1,193,5,400,10,689,20,1187,40,2493,69,3834,108,5655,157,9313,215,12773,269,16322,319,21574,353,27901,406,29809,441,31279,473,33585,505,35162,554,36595,568,38139,601,39431,613,41031,630
BA,29,0.0,0.0,2.0,0.0,7.0,0.0,41,0,127,0,336,7,640,21,1200,40,2116,72,3315,123,5174,196,8314,286,13000,413,17626,638,27396,846,35788,1069,45304,1350,65244,1697,85485,2050,104188,2436,120238,2793,146399,3140,168926,3517,191401,3899,214379,4338,234204,4832
CE,23,0.0,0.0,0.0,0.0,0.0,0.0,84,0,322,4,745,23,1668,74,3062,180,5667,326,8309,638,15879,1062,23795,1614,35122,2308,47822,2956,63575,3965,76429,4829,92397,5520,107064,5987,121464,6441,136001,6867,146972,7178,161844,7480,176371,7704,188289,7954,197381,8129,204931,8288
DF,53,0.0,0.0,1.0,0.0,8.0,0.0,108,0,260,0,456,7,592,14,796,24,1020,27,1605,32,2576,39,4140,56,6248,95,9474,162,15850,208,21959,293,32238,405,42766,537,55760,671,68406,871,81163,1075,94187,1275,107922,1490,121824,1712,135014,1958,147127,2257
ES,32,0.0,0.0,1.0,0.0,4.0,0.0,26,0,61,0,166,6,383,9,1099,30,1711,52,3104,104,4412,172,6595,271,9918,417,13437,583,18950,806,26011,1028,34238,1297,41652,1507,52824,1781,62393,1995,70131,2202,76598,2386,83814,2565,91146,2720,98765,2863,105633,3015
GO,52,0.0,0.0,0.0,0.0,4.0,0.0,19,0,56,1,103,2,209,10,378,18,506,25,825,30,1069,47,1652,69,2435,95,3609,124,5770,172,7941,211,15450,295,21865,434,28526,621,36273,847,40768,1086,55567,1380,69820,1691,84963,2017,101290,2314,116058,2735
MA,21,0.0,0.0,0.0,0.0,0.0,0.0,2,0,15,0,95,2,398,24,1205,48,2223,112,4040,237,7599,379,12492,549,21191,754,34639,955,47593,1170,58859,1436,69673,1684,78115,1943,89057,2185,98398,2426,106092,2676,113563,2898,121581,3032,129700,3154,136280,3253,143873,3340
MG,31,0.0,0.0,0.0,0.0,4.0,0.0,55,0,205,0,430,6,750,17,1077,39,1481,58,2023,88,3123,118,4474,150,6338,217,9630,263,14939,368,20614,454,27305,636,40966,882,55958,1183,73813,1550,90875,1964,110093,2404,129985,2861,150723,3449,171514,4044,191507,4737
MS,50,0.0,0.0,0.0,0.0,2.0,0.0,16,0,31,0,62,1,100,2,161,5,217,7,266,9,346,11,508,15,858,17,1489,20,2253,21,3433,31,5237,45,7527,72,10089,117,13197,161,16403,222,21514,305,26003,404,31344,509,36836,626,41888,722
MT,51,0.0,0.0,0.0,0.0,0.0,0.0,1,0,11,0,60,1,121,3,171,5,246,9,333,12,502,16,857,27,1363,37,2413,58,3788,101,5739,199,9262,341,14128,533,20333,786,28526,1047,32766,1312,43253,1580,53151,1876,63336,2125,72791,2363,81469,2558
PA,15,0.0,0.0,0.0,0.0,0.0,0.0,2,0,18,0,82,1,237,11,641,33,1745,95,3727,306,7018,610,13464,1223,24125,2150,37859,2920,53860,3665,68456,4191,84654,4583,100443,4845,113811,5096,125714,5289,137484,5523,148463,5716,156285,5773,167642,5885,177969,5940,189289,6057
PB,25,0.0,0.0,0.0,0.0,0.0,0.0,1,0,14,0,34,3,101,13,236,29,499,49,1169,76,2156,124,4063,183,7508,258,12862,346,19787,467,27454,623,36521,743,44242,896,52306,1082,60421,1250,66971,1477,75723,1675,83461,1833,89893,1983,95588,2138,100970,2288
PE,26,0.0,0.0,0.0,0.0,7.0,0.0,33,0,68,5,176,14,816,72,2193,205,4507,381,8145,628,12470,972,18488,1461,26786,2144,33427,2740,39361,3270,44671,3784,51118,4148,57089,4708,63457,5116,71370,5556,78509,5928,86752,6299,96746,6597,104113,6920,111773,7156,118027,7364
PI,22,0.0,0.0,0.0,0.0,0.0,0.0,4,0,11,1,24,4,44,7,144,10,331,18,742,28,1278,42,2252,72,3390,107,4931,161,7478,239,10153,360,14264,485,19158,615,26079,784,32963,936,39296,1100,46044,1243,52993,1369,59982,1480,66078,1608,71899,1714
PR,41,0.0,0.0,0.0,0.0,6.0,0.0,43,0,137,2,401,7,688,27,960,49,1155,71,1510,93,1809,110,2272,126,3147,153,4538,186,6693,239,9353,320,13821,437,19819,575,30570,763,40797,1016,53553,1308,65593,1653,77930,1975,91127,2319,103771,2665,116848,2961
RJ,33,0.0,0.0,2.0,0.0,15.0,0.0,119,3,558,13,1246,58,2607,155,4543,387,6828,615,10546,971,16929,1653,21601,2614,34533,3905,52420,5277,64533,6639,78836,7592,95537,8824,108803,9789,120428,10624,129675,11406,135230,11919,156293,12808,167213,13556,178524,14070,190614,14526,210464,15267
RN,24,0.0,0.0,0.0,0.0,1.0,0.0,9,0,68,1,215,6,289,13,561,26,825,44,1392,61,1919,87,3004,136,4599,184,7402,305,9449,410,14171,534,19290,697,24301,937,34645,1213,39421,1394,43766,1577,47099,1678,51988,1889,55315,1976,57860,2068,59590,2171
RO,11,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,0,11,1,34,2,128,4,328,7,654,23,1263,41,1918,69,3109,115,4743,151,7701,228,11632,309,14952,409,19735,481,22957,548,26496,617,29117,686,35573,810,39504,881,43866,940,47652,1012,50995,1061
RR,14,0.0,0.0,0.0,0.0,0.0,0.0,2,0,16,0,42,1,79,3,222,3,401,4,519,7,1202,18,1706,49,2439,72,3474,116,5529,142,6875,200,8120,251,14341,281,18922,368,22225,396,25467,429,29829,473,33151,513,36387,547,39623,568,41527,579
RS,43,0.0,0.0,0.0,0.0,4.0,0.0,69,0,200,2,418,7,653,16,854,24,1166,35,1666,65,2542,97,3734,138,6336,176,9242,218,12037,283,14627,344,19138,430,25000,554,31619,715,38720,943,46847,1229,59118,1554,70456,1947,83595,2346,97445,2647,108839,3046
SC,42,0.0,0.0,0.0,0.0,5.0,0.0,57,0,184,1,356,10,732,21,975,32,1235,42,2346,52,3372,64,4678,81,6607,103,8780,136,11285,166,13296,193,17108,237,23808,304,31931,383,42026,485,52531,662,67333,880,86922,1154,104749,1419,120001,1767,132008,2027
SE,28,0.0,0.0,0.0,0.0,1.0,0.0,10,0,16,0,32,3,44,4,71,5,154,9,601,14,1588,33,3135,53,5131,86,6805,149,8972,208,12866,316,18449,448,23319,605,29761,783,36046,954,43072,1111,52264,1303,59724,1448,64271,1577,67701,1696,70252,1771
SP,35,2.0,0.0,13.0,0.0,65.0,0.0,396,15,1406,84,4466,260,8419,560,13894,991,20004,1667,31174,2586,44411,3608,61183,4688,80558,6045,107142,7532,140549,9058,172875,10581,215793,12494,265581,14263,312530,15996,366890,17702,412027,19647,479481,21517,552318,23236,621731,25016,697530,26780,749244,28392
TO,17,0.0,0.0,0.0,0.0,0.0,0.0,2,0,9,0,16,0,25,0,33,1,58,2,246,4,688,11,1279,27,2430,51,3981,71,5644,99,6972,132,8354,175,10228,192,12476,220,15132,255,17773,294,21767,346,26434,395,31663,451,36989,511,42839,573
TOTAL,0,2.0,0.0,19.0,0.0,136.0,0.0,1132,18,3953,115,10381,445,20991,1141,37175,2375,59506,4074,97430,6808,157248,10695,234575,15698,351125,22191,502913,28895,676893,36054,851779,42792,1071337,50100,1318551,57159,1580041,64410,1844313,71578,2077955,78870,2398993,86536,2711992,93668,3018397,100648,3320108,107364,3585016,114350
