code_state;epidemiological_week;growth_factor
35.0;10.0;5.5
35.0;11.0;4.73
35.0;12.0;6.37
35.0;13.0;3.05
35.0;14.0;3.03
35.0;15.0;1.29
35.0;16.0;1.39
35.0;17.0;1.12
35.0;18.0;1.83
35.0;19.0;1.19
35.0;20.0;1.27
35.0;21.0;1.16
35.0;22.0;1.37
35.0;23.0;1.26
35.0;24.0;0.97
35.0;25.0;1.33
35.0;26.0;1.16
35.0;27.0;0.94
35.0;28.0;1.16
35.0;29.0;0.83
35.0;30.0;1.49
35.0;31.0;1.08
35.0;32.0;0.95
32.0;11.0;3.0
32.0;12.0;7.33
32.0;13.0;1.59
32.0;14.0;3.0
32.0;15.0;2.07
32.0;16.0;3.3
32.0;17.0;0.85
32.0;18.0;2.28
32.0;19.0;0.94
32.0;20.0;1.67
32.0;21.0;1.52
32.0;22.0;1.06
32.0;23.0;1.57
32.0;24.0;1.28
32.0;25.0;1.17
32.0;26.0;0.9
32.0;27.0;1.51
32.0;28.0;0.86
32.0;29.0;0.81
32.0;30.0;0.84
32.0;31.0;1.12
32.0;32.0;1.02
33.0;11.0;6.5
33.0;12.0;8.0
33.0;13.0;4.22
33.0;14.0;1.57
33.0;15.0;1.98
33.0;16.0;1.42
33.0;17.0;1.18
33.0;18.0;1.63
33.0;19.0;1.72
33.0;20.0;0.73
33.0;21.0;2.77
33.0;22.0;1.38
33.0;23.0;0.68
33.0;24.0;1.18
33.0;25.0;1.17
33.0;26.0;0.79
33.0;27.0;0.88
33.0;28.0;0.8
33.0;29.0;0.6
33.0;30.0;3.79
33.0;31.0;0.52
33.0;32.0;1.04
29.0;11.0;2.5
29.0;12.0;6.8
29.0;13.0;2.53
29.0;14.0;2.43
29.0;15.0;1.45
29.0;16.0;1.84
29.0;17.0;1.64
29.0;18.0;1.31
29.0;19.0;1.55
29.0;20.0;1.69
29.0;21.0;1.49
29.0;22.0;0.99
29.0;23.0;2.11
29.0;24.0;0.86
29.0;25.0;1.13
29.0;26.0;2.1
29.0;27.0;1.02
29.0;28.0;0.92
29.0;29.0;0.86
29.0;30.0;1.63
29.0;31.0;0.86
29.0;32.0;1.0
53.0;11.0;7.0
53.0;12.0;14.29
53.0;13.0;1.52
53.0;14.0;1.29
53.0;15.0;0.69
53.0;16.0;1.5
53.0;17.0;1.1
53.0;18.0;2.61
53.0;19.0;1.66
53.0;20.0;1.61
53.0;21.0;1.35
53.0;22.0;1.53
53.0;23.0;1.98
53.0;24.0;0.96
53.0;25.0;1.68
53.0;26.0;1.02
53.0;27.0;1.23
53.0;28.0;0.97
53.0;29.0;1.01
53.0;30.0;1.02
53.0;31.0;1.05
53.0;32.0;1.01
27.0;12.0;6.0
27.0;13.0;1.17
27.0;14.0;1.29
27.0;15.0;2.78
27.0;16.0;3.36
27.0;17.0;4.39
27.0;18.0;2.36
27.0;19.0;0.92
27.0;20.0;1.78
27.0;21.0;1.43
27.0;22.0;1.76
27.0;23.0;1.56
27.0;24.0;1.08
27.0;25.0;1.12
27.0;26.0;0.85
27.0;27.0;0.98
27.0;28.0;0.94
27.0;29.0;0.92
27.0;30.0;1.04
27.0;31.0;1.22
27.0;32.0;0.92
31.0;12.0;12.75
31.0;13.0;2.94
31.0;14.0;1.5
31.0;15.0;1.42
31.0;16.0;1.02
31.0;17.0;1.24
31.0;18.0;1.34
31.0;19.0;2.03
31.0;20.0;1.23
31.0;21.0;1.38
31.0;22.0;1.77
31.0;23.0;1.61
31.0;24.0;1.07
31.0;25.0;1.18
31.0;26.0;2.04
31.0;27.0;1.1
31.0;28.0;1.19
31.0;29.0;0.96
31.0;30.0;1.13
31.0;31.0;1.04
31.0;32.0;1.04
43.0;12.0;16.25
43.0;13.0;2.02
43.0;14.0;1.66
43.0;15.0;1.08
43.0;16.0;0.86
43.0;17.0;1.55
43.0;18.0;1.6
43.0;19.0;1.75
43.0;20.0;1.36
43.0;21.0;2.18
43.0;22.0;1.12
43.0;23.0;0.96
43.0;24.0;0.93
43.0;25.0;1.74
43.0;26.0;1.3
43.0;27.0;1.13
43.0;28.0;1.07
43.0;29.0;1.14
43.0;30.0;1.51
43.0;31.0;0.92
43.0;32.0;1.16
52.0;12.0;3.75
52.0;13.0;2.47
52.0;14.0;1.27
52.0;15.0;2.26
52.0;16.0;1.59
52.0;17.0;0.76
52.0;18.0;2.49
52.0;19.0;0.76
52.0;20.0;2.39
52.0;21.0;1.34
52.0;22.0;1.5
52.0;23.0;1.84
52.0;24.0;1.0
52.0;25.0;3.46
52.0;26.0;0.85
52.0;27.0;1.04
52.0;28.0;1.16
52.0;29.0;0.58
52.0;30.0;3.29
52.0;31.0;0.96
52.0;32.0;1.06
25.0;13.0;13.0
25.0;14.0;1.54
25.0;15.0;3.35
25.0;16.0;2.01
25.0;17.0;1.95
25.0;18.0;2.55
25.0;19.0;1.47
25.0;20.0;1.93
25.0;21.0;1.81
25.0;22.0;1.55
25.0;23.0;1.29
25.0;24.0;1.11
25.0;25.0;1.18
25.0;26.0;0.85
25.0;27.0;1.04
25.0;28.0;1.01
25.0;29.0;0.81
25.0;30.0;1.34
25.0;31.0;0.88
25.0;32.0;0.83
26.0;12.0;3.71
26.0;13.0;1.35
26.0;14.0;3.09
26.0;15.0;5.93
26.0;16.0;2.15
26.0;17.0;1.68
26.0;18.0;1.57
26.0;19.0;1.19
26.0;20.0;1.39
26.0;21.0;1.38
26.0;22.0;0.8
26.0;23.0;0.89
26.0;24.0;0.89
26.0;25.0;1.21
26.0;26.0;0.93
26.0;27.0;1.07
26.0;28.0;1.24
26.0;29.0;0.9
26.0;30.0;1.15
26.0;31.0;1.21
26.0;32.0;0.74
41.0;12.0;6.17
41.0;13.0;2.54
41.0;14.0;2.81
41.0;15.0;1.09
41.0;16.0;0.95
41.0;17.0;0.72
41.0;18.0;1.82
41.0;19.0;0.84
41.0;20.0;1.55
41.0;21.0;1.89
41.0;22.0;1.59
41.0;23.0;1.55
41.0;24.0;1.23
41.0;25.0;1.68
41.0;26.0;1.34
41.0;27.0;1.79
41.0;28.0;0.95
41.0;29.0;1.25
41.0;30.0;0.94
41.0;31.0;1.02
41.0;32.0;1.07
24.0;12.0;8.0
24.0;13.0;7.38
24.0;14.0;2.49
24.0;15.0;0.5
24.0;16.0;3.68
24.0;17.0;0.97
24.0;18.0;2.15
24.0;19.0;0.93
24.0;20.0;2.06
24.0;21.0;1.47
24.0;22.0;1.76
24.0;23.0;0.73
24.0;24.0;2.31
24.0;25.0;1.08
24.0;26.0;0.98
24.0;27.0;2.06
24.0;28.0;0.46
24.0;29.0;0.91
24.0;30.0;0.77
24.0;31.0;1.47
24.0;32.0;0.68
42.0;12.0;10.4
42.0;13.0;2.44
42.0;14.0;1.35
42.0;15.0;2.19
42.0;16.0;0.65
42.0;17.0;1.07
42.0;18.0;4.27
42.0;19.0;0.92
42.0;20.0;1.27
42.0;21.0;1.48
42.0;22.0;1.13
42.0;23.0;1.15
42.0;24.0;0.8
42.0;25.0;1.9
42.0;26.0;1.76
42.0;27.0;1.21
42.0;28.0;1.24
42.0;29.0;1.04
42.0;30.0;1.41
42.0;31.0;1.32
42.0;32.0;0.91
13.0;12.0;4.5
13.0;13.0;11.11
13.0;14.0;2.0
13.0;15.0;3.69
13.0;16.0;1.15
13.0;17.0;2.05
13.0;18.0;1.4
13.0;19.0;2.42
13.0;20.0;1.32
13.0;21.0;1.18
13.0;22.0;1.29
13.0;23.0;0.7
13.0;24.0;0.88
13.0;25.0;0.9
13.0;26.0;0.98
13.0;27.0;1.01
13.0;28.0;1.19
13.0;29.0;0.95
13.0;30.0;0.76
13.0;31.0;1.02
13.0;32.0;0.82
50.0;12.0;7.0
50.0;13.0;1.07
50.0;14.0;2.07
50.0;15.0;1.23
50.0;16.0;1.61
50.0;17.0;0.92
50.0;18.0;0.88
50.0;19.0;1.63
50.0;20.0;2.02
50.0;21.0;2.16
50.0;22.0;1.8
50.0;23.0;1.21
50.0;24.0;1.54
50.0;25.0;1.53
50.0;26.0;1.27
50.0;27.0;1.12
50.0;28.0;1.21
50.0;29.0;1.03
50.0;30.0;1.59
50.0;31.0;0.88
50.0;32.0;1.19
28.0;12.0;9.0
28.0;13.0;0.67
28.0;14.0;2.67
28.0;15.0;0.75
28.0;16.0;2.25
28.0;17.0;3.07
28.0;18.0;5.39
28.0;19.0;2.21
28.0;20.0;1.57
28.0;21.0;1.29
28.0;22.0;0.84
28.0;23.0;1.29
28.0;24.0;1.8
28.0;25.0;1.43
28.0;26.0;0.87
28.0;27.0;1.32
28.0;28.0;0.98
28.0;29.0;1.12
28.0;30.0;1.31
28.0;31.0;0.81
28.0;32.0;0.61
23.0;13.0;2.83
23.0;14.0;1.78
23.0;15.0;2.18
23.0;16.0;1.51
23.0;17.0;1.87
23.0;18.0;1.01
23.0;19.0;2.87
23.0;20.0;1.05
23.0;21.0;1.43
23.0;22.0;1.12
23.0;23.0;1.24
23.0;24.0;0.82
23.0;25.0;1.24
23.0;26.0;0.92
23.0;27.0;0.98
23.0;28.0;1.01
23.0;29.0;0.75
23.0;30.0;1.36
23.0;31.0;0.98
23.0;32.0;0.82
12.0;13.0;1.27
12.0;14.0;1.5
12.0;15.0;1.24
12.0;16.0;2.69
12.0;17.0;1.66
12.0;18.0;2.54
12.0;19.0;2.65
12.0;20.0;0.68
12.0;21.0;3.76
12.0;22.0;1.1
12.0;23.0;0.66
12.0;24.0;1.38
12.0;25.0;0.86
12.0;26.0;0.95
12.0;27.0;0.95
12.0;28.0;1.01
12.0;29.0;0.7
12.0;30.0;1.3
12.0;31.0;0.87
12.0;32.0;1.23
15.0;13.0;8.0
15.0;14.0;4.0
15.0;15.0;2.42
15.0;16.0;2.61
15.0;17.0;2.73
15.0;18.0;1.8
15.0;19.0;1.66
15.0;20.0;1.96
15.0;21.0;1.65
15.0;22.0;1.29
15.0;23.0;1.17
15.0;24.0;0.91
15.0;25.0;1.11
15.0;26.0;0.97
15.0;27.0;0.85
15.0;28.0;0.89
15.0;29.0;0.99
15.0;30.0;0.93
15.0;31.0;0.71
15.0;32.0;1.45
17.0;13.0;3.5
17.0;14.0;1.0
17.0;15.0;1.29
17.0;16.0;0.89
17.0;17.0;3.12
17.0;18.0;7.52
17.0;19.0;2.35
17.0;20.0;1.34
17.0;21.0;1.95
17.0;22.0;1.35
17.0;23.0;1.07
17.0;24.0;0.8
17.0;25.0;1.04
17.0;26.0;1.36
17.0;27.0;1.2
17.0;28.0;1.18
17.0;29.0;0.99
17.0;30.0;1.51
17.0;31.0;1.17
17.0;32.0;1.0
22.0;13.0;1.75
22.0;14.0;1.86
22.0;15.0;1.54
22.0;16.0;5.0
22.0;17.0;1.87
22.0;18.0;2.2
22.0;19.0;1.3
22.0;20.0;1.82
22.0;21.0;1.17
22.0;22.0;1.35
22.0;23.0;1.65
22.0;24.0;1.05
22.0;25.0;1.54
22.0;26.0;1.19
22.0;27.0;1.41
22.0;28.0;0.99
22.0;29.0;0.92
22.0;30.0;1.07
22.0;31.0;1.03
22.0;32.0;1.01
16.0;13.0;3.0
16.0;14.0;8.33
16.0;15.0;6.56
16.0;16.0;1.26
16.0;17.0;1.4
16.0;18.0;1.72
16.0;19.0;2.62
16.0;20.0;1.03
16.0;21.0;1.36
16.0;22.0;2.01
16.0;23.0;0.95
16.0;24.0;1.03
16.0;25.0;1.48
16.0;26.0;1.2
16.0;27.0;0.3
16.0;28.0;0.77
16.0;29.0;1.57
16.0;30.0;0.68
16.0;31.0;0.91
16.0;32.0;1.08
21.0;13.0;6.5
21.0;14.0;6.15
21.0;15.0;3.79
21.0;16.0;2.66
21.0;17.0;1.26
21.0;18.0;1.78
21.0;19.0;1.96
21.0;20.0;1.37
21.0;21.0;1.78
21.0;22.0;1.55
21.0;23.0;0.96
21.0;24.0;0.87
21.0;25.0;0.96
21.0;26.0;0.78
21.0;27.0;1.3
21.0;28.0;0.85
21.0;29.0;0.82
21.0;30.0;0.97
21.0;31.0;1.07
21.0;32.0;1.01
51.0;13.0;10.0
51.0;14.0;4.9
51.0;15.0;1.24
51.0;16.0;0.82
51.0;17.0;1.5
51.0;18.0;1.16
51.0;19.0;1.94
51.0;20.0;2.1
51.0;21.0;1.43
51.0;22.0;2.08
51.0;23.0;1.31
51.0;24.0;1.42
51.0;25.0;1.81
51.0;26.0;1.38
51.0;27.0;1.28
51.0;28.0;1.32
51.0;29.0;0.52
51.0;30.0;2.47
51.0;31.0;0.94
51.0;32.0;1.03
11.0;13.0;1.0
11.0;14.0;1.67
11.0;15.0;4.6
11.0;16.0;4.09
11.0;17.0;2.13
11.0;18.0;1.63
11.0;19.0;1.87
11.0;20.0;1.08
11.0;21.0;1.82
11.0;22.0;1.37
11.0;23.0;1.81
11.0;24.0;1.33
11.0;25.0;0.84
11.0;26.0;1.44
11.0;27.0;0.67
11.0;28.0;1.1
11.0;29.0;0.74
11.0;30.0;2.46
11.0;31.0;0.61
11.0;32.0;1.11
14.0;13.0;7.0
14.0;14.0;1.86
14.0;15.0;1.42
14.0;16.0;3.86
14.0;17.0;1.25
14.0;18.0;0.66
14.0;19.0;5.79
14.0;20.0;0.74
14.0;21.0;1.45
14.0;22.0;1.41
14.0;23.0;1.99
14.0;24.0;0.65
14.0;25.0;0.92
14.0;26.0;5.0
14.0;27.0;0.74
14.0;28.0;0.72
14.0;29.0;0.98
14.0;30.0;1.35
14.0;31.0;0.76
14.0;32.0;0.97
