epidemiological_week,state,new_confirmed,new_deaths
20,AC,532,19
32,GO,15143,326
21,PR,875,27
21,PI,1138,35
17,PR,195,22
23,TO,1663,28
24,PA,14596,526
34,MT,8678,195
35,PR,1111,16
28,PE,7913,440
31,SE,7460,145
17,TO,25,1
28,MA,9341,241
31,AP,1433,14
32,AC,1568,24
24,MS,1180,10
28,AM,7728,105
29,GO,4495,239
9,SP,2,0
33,AP,1292,12
35,RS,1034,16
17,ES,612,22
21,AM,9125,369
21,RR,733,23
32,RR,3236,34
13,SE,6,0
24,MT,1951,98
30,MT,10487,268
33,GO,16327,297
21,AP,1821,49
23,BA,9770,208
25,DF,10279,112
26,PE,5971,560
22,MA,13448,201
11,PB,0,0
11,MS,2,0
17,RS,312,11
18,MT,87,3
18,RO,326,16
24,PR,2660,81
12,RJ,104,3
13,RR,14,0
18,RJ,3718,356
25,AP,5252,34
27,PA,13368,251
17,BA,916,32
18,MG,542,30
33,MS,5492,117
33,RO,3786,72
21,CE,11327,694
13,AM,100,1
13,MS,15,0
14,MA,80,2
18,RN,567,17
22,RN,2803,121
24,ES,7061,222
26,RN,5011,240
27,PB,8064,186
13,RN,59,1
15,GO,106,8
27,MA,10942,242
12,PI,4,0
14,PE,108,9
18,BA,1199,51
31,PE,9994,298
33,SP,75799,1764
22,RS,2906,42
25,RN,5119,163
30,AM,5560,81
22,AC,2205,55
19,RR,683,11
27,AC,1574,40
28,MG,17855,367
35,MA,527,12
14,CE,423,19
16,SC,243,11
19,GO,244,17
22,MS,631,3
26,AM,6443,122
26,MS,2290,27
31,AC,1273,52
34,AL,3394,68
13,CE,238,4
19,MT,169,4
28,MS,3108,44
35,RO,426,4
12,CE,84,0
13,TO,7,0
16,PR,272,22
17,MA,1018,64
17,SC,260,10
23,MG,5309,105
32,MS,5341,105
34,CE,7550,159
17,CE,2605,146
17,MT,75,4
17,PE,2314,176
29,AM,7304,106
13,AL,7,0
13,PA,16,0
15,PR,287,20
16,SP,5475,431
17,PB,263,20
20,RN,1085,49
33,PB,5695,155
16,RS,201,8
19,RS,876,32
27,MS,2562,45
13,SC,127,1
27,PE,6368,408
27,PI,6921,169
12,MG,51,0
20,MG,1351,32
29,DF,12757,204
30,RO,6456,124
30,RJ,21063,889
27,CE,14400,454
28,ES,9569,214
35,GO,606,8
18,RR,118,3
35,DF,1871,17
12,SP,331,15
21,SE,1996,33
22,BA,4626,225
23,CE,15753,1009
27,RN,10344,276
28,MT,8193,261
32,RJ,11311,514
20,PR,463,16
25,AL,6811,143
33,PI,6096,128
16,AC,70,4
21,AL,2037,102
21,GO,783,26
31,MT,9898,296
31,RJ,10920,748
33,PR,12644,346
15,RN,74,7
21,AC,2000,28
21,RO,1191,46
27,AM,6480,146
35,RJ,484,25
19,RJ,6383,682
28,TO,2656,35
30,RR,4362,44
31,TO,4667,49
14,RJ,688,45
22,MG,3292,46
34,AP,1600,17
15,MA,303,22
30,GO,14799,294
10,SP,11,0
12,PE,26,0
13,DF,152,0
17,SE,83,4
22,PI,1541,54
32,AL,5756,84
17,DF,224,3
19,PB,987,48
20,MS,162,4
24,SP,32326,1523
27,SP,46949,1733
29,PB,6550,227
16,MT,50,2
17,GO,128,7
22,SC,2173,33
24,AP,3549,50
32,RS,13139,399
10,DF,1,0
12,BA,34,0
20,CE,7916,552
11,RJ,13,0
21,PA,10661,927
25,PE,6447,364
28,SC,10095,102
14,AC,21,0
15,ES,217,3
20,AL,1423,85
23,AC,1453,59
26,RR,6221,30
14,PR,264,5
24,RJ,14303,953
32,SP,69413,1780
16,AL,84,7
17,AP,289,10
25,SC,3812,44
27,GO,6661,187
31,AM,5683,68
12,RO,3,0
14,PB,20,3
24,DF,6109,85
34,RJ,19850,741
11,PE,7,0
12,PA,2,0
15,TO,9,0
22,CE,12700,648
25,GO,7509,84
28,PB,8115,168
11,GO,4,0
19,MA,3559,142
26,MA,8442,259
27,TO,2248,28
30,CE,14872,302
17,RO,200,3
19,PE,4325,344
20,AM,7752,413
23,AM,8225,185
29,RN,4345,183
30,AP,1577,49
31,ES,7216,179
32,CE,11918,250
25,PR,4468,117
11,PR,6,0
17,MG,404,19
26,GO,6415,139
24,SE,3894,108
27,AL,5734,141
14,MT,49,1
17,MS,56,2
23,PI,2547,78
32,AP,1544,33
28,PR,10227,253
31,MS,4489,99
33,RR,3236,21
15,RR,37,2
22,TO,1551,20
26,SP,49788,1769
27,SE,6442,178
22,PR,1391,33
13,PI,7,1
18,CE,2642,312
29,BA,16050,357
12,RS,65,0
26,PA,15789,262
28,AL,5378,130
32,MG,20738,588
11,SC,5,0
12,AP,1,0
25,MA,10814,248
31,PR,12337,322
17,AL,369,19
21,SP,19375,1357
23,SP,33407,1526
12,AC,11,0
16,PB,135,16
20,PI,974,30
14,AP,25,1
20,RJ,4672,961
20,RR,504,31
21,MS,350,2
29,MS,3206,61
29,PA,11770,234
29,TO,2641,39
32,RN,3327,87
34,RR,2107,11
19,BA,1859,73
27,ES,11172,274
35,SE,220,11
35,TO,0,0
22,SP,26584,1487
28,SE,6285,171
18,PR,355,22
16,MG,327,22
23,SC,2505,30
30,SP,67454,1870
34,RO,3343,49
23,AP,3460,54
23,DF,6376,46
23,MS,764,1
28,CE,14537,426
12,SE,9,0
14,TO,7,0
34,PA,11320,117
19,SC,1026,12
30,MS,5111,83
34,PE,6254,208
15,RJ,1361,97
16,RR,143,0
25,AM,6553,185
26,RJ,13266,965
29,AL,4950,117
29,RJ,5555,513
30,AC,1455,26
15,MT,61,2
35,PA,293,5
11,RN,1,0
18,PB,670,27
26,AC,1650,54
30,PE,8243,371
28,RO,3539,69
35,BA,1846,73
11,MG,4,0
14,SC,172,9
17,PI,187,8
26,AP,6327,53
34,MS,5662,112
12,MS,14,0
28,RS,7101,228
33,RJ,12090,456
14,MG,225,6
14,RR,26,1
21,RS,2602,38
33,RS,13850,301
13,MA,13,0
26,CE,14667,467
35,CE,510,1
17,PA,1104,62
18,MA,1817,125
35,AC,54,2
12,AM,9,0
22,ES,3519,166
28,AP,1470,32
35,SC,484,15
11,AM,2,0
33,TO,5326,60
26,ES,7414,210
16,GO,169,8
33,MG,20791,595
35,RN,0,0
15,MS,38,1
24,RR,1346,58
27,MT,6205,253
31,DF,13735,215
10,RJ,2,0
14,MS,31,1
15,DF,136,7
15,RO,23,1
25,BA,9516,281
25,MS,1804,14
33,AL,5328,77
21,DF,2108,39
25,PI,4111,125
31,BA,22527,377
31,GO,14253,311
32,PR,13197,344
34,AM,4128,94
30,RN,3333,101
24,MA,11266,266
23,PR,2155,53
24,MG,5675,86
32,DF,13902,222
35,MT,353,14
19,PR,299,17
12,AL,6,0
16,RN,272,13
29,AP,2306,32
34,SP,51714,1612
27,DF,12994,134
33,MT,9455,238
35,MS,0,0
14,RS,218,5
15,PB,67,10
23,PB,6925,121
34,SC,12007,260
20,PA,6446,613
21,MG,1864,67
25,TO,1382,43
16,PA,404,22
19,AM,5863,461
19,AP,1306,29
23,RO,2958,77
26,DF,10528,132
30,BA,26161,347
34,ES,6868,152
18,SP,11170,919
21,RJ,12932,1291
29,PR,12756,292
14,DF,196,7
15,SE,12,1
34,PR,13077,296
11,RS,4,0
30,ES,6467,184
25,CE,15968,691
33,SC,15252,348
34,PB,5382,150
12,ES,22,0
14,AM,200,11
15,MG,320,11
27,RO,3222,67
11,DF,7,0
22,PE,6641,596
25,RR,1245,51
26,AL,5823,127
14,GO,47,1
22,RR,1035,44
29,ES,7738,207
12,PB,1,0
25,PB,9067,120
32,SC,17827,265
33,RN,2545,92
18,AP,498,20
25,RJ,16701,1232
30,DF,13024,200
11,ES,3,0
24,AM,7241,233
29,SP,45137,1945
31,RS,11338,393
35,SP,4885,75
12,MT,1,0
17,AM,1738,126
32,MT,10185,249
34,MA,7593,87
14,AL,9,2
15,PA,155,10
22,AP,3658,58
16,PE,1377,133
23,MT,1375,43
26,RO,4783,72
30,AL,5147,105
10,BA,2,0
15,SC,376,11
18,SE,447,5
21,TO,1151,24
33,PA,10327,55
24,SC,2011,27
26,MT,4866,192
33,DF,13190,246
13,MG,150,0
13,RO,3,0
15,AP,164,4
18,TO,188,2
19,SE,987,19
18,AC,295,11
19,RN,527,26
28,SP,54360,1706
35,AL,387,8
34,TO,6607,74
35,RR,0,0
16,TO,8,1
19,MG,1100,30
28,RN,4776,181
31,MG,19892,457
13,MT,10,0
33,PE,7660,236
35,AM,246,6
16,DF,204,10
12,SC,52,0
19,SP,13237,1022
22,AM,11758,303
11,AL,1,0
33,MA,6580,99
34,RS,11394,399
12,RR,2,0
21,PB,3445,75
24,AL,6069,141
21,ES,3323,146
22,RJ,17887,1372
27,RR,4581,87
13,AC,14,0
13,PB,13,0
14,BA,209,7
15,RS,235,9
16,MS,61,3
18,PA,1982,211
20,SP,16772,1080
21,SC,1929,22
34,GO,14768,421
28,GO,7747,226
30,PR,12040,345
12,RN,8,0
31,PI,6949,126
35,PB,162,20
15,PE,640,58
19,CE,7570,424
19,MS,80,2
31,SC,19589,274
19,AC,782,18
29,PI,6333,164
15,BA,304,14
29,RS,8127,286
26,SC,6700,67
26,TO,1874,17
11,SE,1,0
18,PI,411,10
25,RS,4511,86
31,CE,14527,224
34,BA,19825,494
15,AL,25,1
15,PI,20,3
21,MT,506,10
26,PR,5998,138
31,SP,72837,1719
22,PB,5354,88
30,TO,3994,52
20,GO,583,22
34,RN,1730,103
13,AP,3,0
13,GO,37,1
19,ES,1308,68
20,RS,1192,41
21,RN,1595,48
23,ES,5513,223
28,PA,11903,193
13,SP,1010,69
18,GO,319,5
28,RR,3303,28
33,SE,3430,119
12,GO,15,0
19,PA,3291,304
25,SE,5583,132
16,CE,1394,106
16,ES,716,21
20,SE,1547,20
23,RS,2795,65
24,PI,2675,121
25,ES,8227,269
30,SC,14802,218
13,RJ,439,10
24,PE,5310,514
24,TO,1328,33
29,MA,7694,250
35,PI,266,10
24,RO,3931,81
18,ES,1393,52
29,MT,4240,265
31,AL,6262,95
19,RO,609,18
22,RO,1634,36
26,RS,5862,124
33,BA,22978,439
32,MA,8119,122
14,PA,64,1
34,MG,19993,693
11,BA,5,0
16,AP,207,5
19,TO,442,7
21,MA,8699,205
13,RS,131,2
18,SC,1111,10
19,DF,971,7
22,DF,3226,67
23,MA,12954,215
30,SE,9192,192
31,MA,8018,134
12,TO,2,0
13,BA,86,0
14,RO,5,1
14,PI,13,3
14,RN,147,5
15,AC,26,2
16,SE,27,1
18,AL,870,29
29,RO,2621,69
35,ES,255,11
27,RS,6619,161
35,AP,89,1
18,MS,49,2
24,GO,2171,39
33,ES,7619,143
34,AC,1149,22
15,CE,923,51
18,PE,3638,247
29,AC,1122,38
32,TO,5229,56
20,BA,3140,90
26,MG,13661,246
20,DF,1564,17
29,RR,3242,33
20,RO,655,28
22,GO,1174,29
29,MG,17062,414
31,PB,7738,158
31,RN,4889,211
19,PI,536,14
23,SE,2167,59
27,SC,8123,79
28,BA,18703,386
29,PE,7139,372
30,MG,19218,440
32,PI,6989,111
17,SP,6110,676
24,AC,2009,55
24,RS,2590,61
32,PA,11357,112
33,CE,9092,175
35,PE,1113,26
14,ES,105,6
32,SE,4547,129
11,SP,52,0
13,PE,35,5
17,RR,179,1
18,RS,500,30
27,BA,20241,353
26,BA,19940,347
14,SE,16,3
25,RO,3320,100
32,RO,4362,59
18,DF,585,5
30,PI,6748,143
10,ES,1,0
22,PA,13734,770
22,SE,1674,63
25,PA,16198,392
29,SE,7026,157
32,PE,7367,323
34,SE,2551,75
25,MT,3523,142
26,SE,4870,157
21,PE,8298,683
25,AC,1729,41
22,AL,3593,123
23,AL,5595,158
35,MG,3107,53
15,AM,738,41
23,RN,2047,105
18,AM,2427,214
23,RJ,12113,1362
29,SC,10505,177
25,SP,42918,1913
30,RS,12271,325
32,PB,6432,150
14,SP,3060,176
17,AC,116,5
27,AP,1908,35
27,PR,10751,188
28,PI,6884,152
13,ES,35,0
16,RJ,1936,232
17,RJ,2285,228
23,RR,2055,26
34,DF,12113,299
20,PE,6018,489
23,PE,5934,530
33,AM,4813,108
30,MA,7471,222
31,RR,3322,40
20,PB,1907,59
21,BA,4686,127
24,CE,12854,864
26,PI,4894,130
32,ES,7332,155
17,RN,264,18
24,PB,7667,156
29,CE,10971,311
30,PA,10979,193
13,PR,94,2
16,PI,100,3
27,RJ,11625,835
28,RJ,9247,782
16,AM,848,108
19,AL,799,56
31,RO,3931,71
20,AP,1341,39
22,MT,1050,21
24,BA,8392,223
28,DF,12646,200
34,PI,5821,106
16,MA,807,24
12,DF,100,0
15,SP,3953,300
16,BA,560,19
20,MT,355,11
32,AM,4651,77
25,MG,6691,182
30,PB,8752,198
12,PR,37,0
20,ES,2183,99
24,RN,4722,124
32,BA,22475,382
12,MA,2,0
20,SC,1306,17
20,TO,591,16
31,PA,7822,57
33,AC,1018,17
16,RO,94,2
20,MA,4893,170
23,GO,2161,48
23,PA,16001,745
26,PB,7721,153
27,MG,14992,301
28,AC,1593,28
